Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-247.24248	76.48471	-154.57803	-337.7355	1000.0	-0.34439346	1.9988034	1.6165513	-4.2278132	5000	-4.8828124e-08	533.3271	0.020071058	-505.1294	7.3661757	0.0352813	0.2556	1.0	7.969784498214722
1	-263.71808	130.73367	-92.38516	-438.81784	1000.0	-23.544624	11.862917	-7.340275	-47.625484	10000	-1.8310548e-08	14.074833	0.017261079	-10.082881	7.3645577	0.04157253	0.3672	1.0	13.982543468475342
2	-161.06146	102.75529	-63.16817	-312.08655	1000.0	-16.228153	10.1519165	-6.1052737	-36.821995	15000	2.1362304e-08	0.59034276	-0.009300293	-0.117161304	7.3499093	0.012342627	0.0964	79.0	20.253247022628784
3	-181.67291	149.8002	6.9321756	-367.41962	849.8	-20.665638	13.180774	-0.78786063	-49.161243	20000	-3.5095216e-08	5.057009	-0.0018098237	-1.9516153	7.3883953	0.01948493	0.1386	4.0	26.030933618545532
4	-125.164246	40.177895	-81.462	-191.60832	1000.0	-12.442057	4.149641	-5.912214	-20.412941	25000	1.6403199e-08	0.27300587	-0.0089861285	-0.13440746	7.3606133	0.007661981	0.1	79.0	32.19677734375
5	-161.88274	71.802574	-53.89112	-231.09572	1000.0	-16.13146	7.133892	-4.77357	-23.87593	30000	5.340576e-09	0.1896713	-0.004688794	-0.04699543	7.3340397	0.01758975	0.2302	4.0	38.37813878059387
6	-229.86345	94.66315	-76.36275	-362.06668	1000.0	-22.855293	9.574869	-6.3861547	-45.079338	35000	-2.746582e-08	1.4972396	-0.0108633675	-0.46373665	7.3435593	0.010520046	0.1198	79.0	44.613760471343994
7	-192.98775	119.04435	-80.20121	-403.81314	1000.0	-19.665596	12.375747	-5.1573367	-50.994747	40000	5.3405763e-08	1.386456	-0.011738479	-0.36988282	7.498813	0.008165981	0.159	79.0	50.885313510894775
8	-133.37717	80.427605	-22.974413	-221.37828	1000.0	-13.439872	8.407095	-0.655132	-24.292889	45000	-2.1362304e-08	0.18836708	-0.011198466	-0.092845865	7.4627967	0.010985535	0.1034	79.0	57.15501880645752
9	-161.73282	120.60711	-23.581038	-385.08545	1000.0	-16.472176	12.296691	-2.248502	-47.916958	50000	-2.4414062e-08	0.54421014	-0.009113278	-0.13747048	7.489532	0.00493696	0.0916	79.0	63.38971519470215
10	-169.18271	135.49419	-9.700467	-352.9383	1000.0	-16.967106	13.563429	-0.43080136	-36.924877	55000	9.155274e-09	0.45841756	-0.0025031723	-0.12438586	7.4621243	0.014681857	0.2208	2.0	69.67316484451294
11	-184.129	93.60448	-57.609516	-287.82996	1000.0	-18.586365	9.4847555	-5.2818265	-31.322916	60000	-3.0517577e-09	0.3773397	-0.010402849	-0.03244874	7.458708	0.009805628	0.12	79.0	76.04859519004822
12	-207.60722	146.76988	-31.188162	-394.07642	1000.0	-21.05184	15.074886	-1.7228136	-49.153168	65000	-3.051758e-08	0.5484931	-0.007999396	-0.14711535	7.4737077	0.0071193846	0.0696	79.0	82.24173736572266
13	-198.09744	96.89071	-111.83511	-347.5948	1000.0	-20.057371	9.950962	-6.1113048	-43.62435	70000	-1.2207031e-08	0.6753803	-0.009335614	-0.10032475	7.4787774	0.007048976	0.1122	79.0	88.46981811523438
14	-206.79907	44.758698	-163.96921	-285.70712	1000.0	-21.01547	4.677776	-11.174934	-33.28999	75000	-2.5177002e-08	0.37098905	-0.006716285	-0.09910655	7.4917674	0.00721088	0.0926	79.0	94.62504625320435
15	-213.82622	138.25606	9.431068	-388.70163	847.4	-26.746857	10.592095	0.26944134	-49.259903	80000	1.2207031e-08	2.318082	-0.011440396	-1.460257	7.3796024	0.008546005	0.1598	79.0	100.68661546707153
16	-138.04364	80.785484	-44.69813	-279.35825	1000.0	-13.569647	8.356891	-2.7369812	-28.443754	85000	-1.8310548e-08	0.3528336	-0.0108058285	-0.20754695	7.2977304	0.0072235153	0.1126	79.0	106.92072939872742
17	-175.74121	89.408424	-22.981073	-265.98938	1000.0	-15.942251	10.006927	3.6197288	-31.214828	90000	3.6621095e-08	5.2392983	-0.010656933	-4.775372	7.2547936	0.01352396	0.1034	79.0	113.44031429290771
18	-213.18954	100.48937	-80.65197	-373.91147	1000.0	-21.487925	10.222598	-5.1264315	-44.679443	95000	2.746582e-08	0.4737938	-0.0079362085	-0.06884244	7.3465734	0.006567546	0.1172	79.0	119.62546944618225
19	-211.44873	76.28075	-122.42764	-308.06238	1000.0	-21.359482	7.684963	-10.092739	-33.20658	100000	-2.4414062e-08	0.19666381	-0.0028116577	-0.058985606	7.2491713	0.012747876	0.105	4.0	125.59421443939209
20	-263.63638	41.50273	-231.1649	-343.42352	1000.0	-26.470062	4.4109807	-17.079618	-41.177887	105000	-6.1035155e-09	0.63519055	-0.007360745	-0.15298504	7.260242	0.006503816	0.098	79.0	132.05783081054688
21	-162.83261	55.432457	-94.28388	-231.12108	1000.0	-16.420906	5.5390577	-6.18665	-25.759975	110000	1.2207031e-08	0.18384697	-0.0043283277	-0.04472013	7.32293	0.01238398	0.1392	4.0	138.02655744552612
22	-138.65958	81.850784	-63.471275	-290.7601	1000.0	-13.870228	8.173915	-5.160978	-29.561157	115000	-3.8146972e-08	0.04467814	-0.0027500086	-0.0048033446	7.369439	0.020463768	0.1752	3.0	144.16486597061157
23	-178.89278	49.006187	-100.12874	-254.13138	1000.0	-17.923832	4.9302754	-8.957514	-26.682997	120000	1.5258789e-09	0.06148702	-0.009110796	-0.007784631	7.341665	0.009240476	0.149	79.0	150.35930919647217
24	-216.5872	114.070564	-57.031357	-362.84134	1000.0	-21.767483	11.531195	-5.1169977	-41.156826	125000	-1.2207031e-08	0.4696666	-0.008248398	-0.08165464	7.331986	0.009152127	0.1254	79.0	156.61691403388977
25	-219.24234	93.87555	-44.519375	-313.28455	1000.0	-22.098307	9.580484	-0.5943369	-33.43189	130000	3.6621095e-08	0.30017462	-0.0021983946	-0.11413613	7.3223243	0.01577334	0.178	2.0	162.62773990631104
26	-128.09734	123.93433	-9.730258	-346.85556	1000.0	-12.761794	12.5932045	0.42453042	-42.322372	135000	-3.6621095e-08	0.3942836	-0.008924024	-0.17326328	7.269994	0.0059739123	0.0938	79.0	168.75457501411438
27	-138.21313	53.526554	-68.13878	-201.13019	1000.0	-13.922744	5.4721327	-4.054503	-23.902632	140000	1.2207031e-08	0.122457825	-0.011454933	-0.03601505	7.241718	0.015217514	0.1692	30.0	174.84439849853516
28	-220.61636	78.44374	-97.82201	-337.06754	1000.0	-22.203754	7.9336896	-9.061243	-37.31427	145000	-3.967285e-08	0.15884773	-0.0070698396	-0.029274762	7.131389	0.012679436	0.1874	3.0	180.94902873039246
29	-227.50174	98.5366	-84.80074	-336.087	1000.0	-22.865898	9.953588	-7.001815	-38.071026	150000	3.967285e-08	0.17429619	-0.010237461	-0.03248185	7.1178627	0.01136956	0.144	79.0	187.19893050193787
30	-202.11812	126.90861	-42.972733	-330.81946	1000.0	-20.30523	12.787784	-4.0225816	-37.974907	155000	1.0681152e-08	0.14581059	-0.00945424	-0.004568815	7.119075	0.008312205	0.1264	79.0	193.6997492313385
