Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-252.68546	42.848213	-184.94037	-311.0961	1000.0	-1.3335104	1.0963709	-0.0006058216	-4.0995336	5000	-2.9296876e-07	510.3403	2.6660156e-05	-486.60556	7.37959	0.015334228	0.2532	1.0	7.407255411148071
1	-206.75522	112.33956	-50.947098	-350.1942	1000.0	-18.494762	9.963984	-2.112854	-34.215546	10000	9.765625e-08	5.7047706	0.007373669	-5.14786	7.3046303	0.03348387	0.2898	1.0	14.07908821105957
2	-137.2255	100.20453	6.5298553	-266.4096	854.0	-15.111753	8.1218815	-0.6292884	-29.576807	15000	-1.8310548e-08	2.3458755	-0.0016154023	-1.0820694	7.3264666	0.023086494	0.2266	3.0	20.05460834503174
3	-182.09851	142.73244	7.5782776	-374.91934	832.6	-19.316895	12.772902	1.1770011	-39.969997	20000	-1.8310548e-08	1.545446	-0.004143079	-0.51455677	7.3283	0.03312399	0.2436	3.0	26.354628801345825
4	-112.78035	42.840107	-70.05594	-187.89516	1000.0	-11.303153	4.327033	-6.00155	-21.095282	25000	-6.1035155e-09	0.14517269	-0.012729965	-0.048638113	7.344336	0.009165162	0.1448	79.0	32.81635308265686
5	-148.52908	57.76282	-58.479137	-209.78165	1000.0	-14.80634	5.7396054	-5.0390387	-21.901335	30000	3.967285e-08	0.02814551	-0.00225249	-0.00488203	7.2375336	0.029104367	0.3352	2.0	38.88700032234192
6	-218.45969	47.10854	-163.81583	-286.33646	1000.0	-21.781944	4.708065	-14.0089035	-30.585745	35000	6.408691e-08	0.31547385	-0.003669754	-0.027783364	7.37039	0.01803103	0.2832	3.0	45.254823446273804
7	-139.61238	91.4658	-24.668472	-285.36533	1000.0	-13.8872595	9.197454	2.5083606	-29.853983	40000	4.043579e-08	0.2801938	-0.0016579513	-0.20569947	7.307036	0.03556883	0.3126	3.0	51.55906867980957
8	-160.00558	69.56797	-90.02781	-268.88452	1000.0	-15.955384	6.953456	-0.36937287	-28.601002	45000	-1.2207031e-08	0.5927101	-0.0031596285	-0.12230396	7.358307	0.018003568	0.317	5.0	57.85831809043884
9	-134.77727	87.73076	8.057983	-240.60239	865.4	-18.0338	8.572292	0.3968978	-32.93376	50000	3.0517577e-09	1.285258	-0.0024243987	-0.32505143	7.322787	0.018097991	0.2146	4.0	63.942604303359985
10	-137.39606	75.76464	-42.410984	-263.74454	1000.0	-13.543081	7.8227515	1.5778674	-27.198233	55000	-1.8310548e-08	0.82420295	-0.018232044	-0.37509823	7.321408	0.007823828	0.0864	79.0	70.90596294403076
11	-153.46982	95.531654	8.578977	-265.9038	832.0	-15.985738	8.708772	-1.0612906	-26.825708	60000	1.0681152e-08	1.8690412	-0.005334277	-1.2711387	7.348864	0.025041953	0.2816	5.0	77.1325364112854
12	-210.43477	92.62335	-27.61227	-278.84885	1000.0	-21.141905	9.3382845	-0.3530505	-31.289103	65000	3.6239625e-09	0.32398176	-0.003586605	-0.14301933	7.36565	0.021386253	0.3138	2.0	84.75333547592163
13	-116.60915	85.49398	6.3084693	-244.86491	847.8	-15.109338	7.8463354	3.3219032	-25.8636	70000	2.822876e-08	1.1240569	-0.0020779225	-0.58485687	7.337221	0.022969993	0.2892	4.0	92.75059938430786
14	-183.44572	104.93075	-83.148766	-334.038	1000.0	-18.262072	10.58445	1.1708682	-34.292915	75000	9.155274e-09	0.4489245	-0.018485378	-0.17988694	7.333697	0.013677114	0.1436	79.0	100.10385274887085
15	-204.22115	109.68175	-39.044014	-318.27835	1000.0	-21.003872	11.327839	-2.405471	-33.062347	80000	-3.6621095e-08	0.8891831	-0.015019916	-0.7447758	7.3312006	0.011015192	0.0942	79.0	107.35819482803345
16	-154.85114	93.54394	-49.48271	-311.47623	1000.0	-15.534084	9.322283	-3.0881486	-32.66479	85000	-2.4414062e-08	0.11473632	-0.0028950244	-0.026097573	7.419697	0.022462787	0.179	2.0	114.51371955871582
17	-118.11778	78.22701	-17.054651	-235.56485	1000.0	-11.885718	7.72959	-1.1953288	-29.881155	90000	2.4414062e-08	0.19174923	-0.014211607	-0.09080107	7.3651257	0.0095155155	0.102	79.0	121.05342173576355
18	-182.50594	92.07903	-60.097195	-285.30835	1000.0	-17.364061	8.559438	-0.5148518	-28.69695	95000	-1.2207031e-08	1.4464983	-0.0030941041	-1.221242	7.2896123	0.014986731	0.148	2.0	127.57441449165344
