Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-207.18158	56.391727	-139.76984	-286.82907	1000.0	0.29970795	0.15185161	0.5201838	-0.101287514	4000	-1.3446808e-07	402.79025	-0.0012225132	-384.05472	7.36241	0.012512005	0.11425	1.0	7.390120506286621
1	-223.75992	78.71437	-87.7951	-278.51382	1000.0	-20.131016	6.941171	-7.74891	-26.107609	8000	1.8882751e-07	5.2078123	0.007959583	-4.9306793	7.334491	0.018342374	0.2535	1.0	12.463436365127563
2	-146.94658	51.82713	-85.6959	-202.73137	1000.0	-14.722403	5.060451	-8.533387	-20.867561	12000	-1.9073487e-09	0.030247265	-0.009861824	-0.006240854	7.3990617	0.0069877366	0.0745	79.0	17.82063126564026
3	-102.88402	75.381775	-57.37882	-233.40872	1000.0	-10.412277	7.3500867	-5.7158437	-23.775867	16000	-3.4332274e-08	0.059310477	-0.009311413	-0.042885326	7.3000755	0.0052580643	0.07525	79.0	23.263317584991455
4	-195.01161	88.87974	-58.734592	-278.71997	1000.0	-19.25207	8.628972	-5.7812004	-28.87383	20000	-2.6464463e-08	0.25728324	-0.003517449	-0.22516116	7.2310786	0.007668584	0.05525	2.0	28.266655921936035
5	-95.82773	37.907116	-63.65951	-159.86955	1000.0	-9.743729	3.7920108	-5.9788036	-16.334066	24000	4.196167e-08	0.03207938	-0.0057396353	-0.0144248605	7.277915	0.015269071	0.16625	8.0	33.226897954940796
6	-72.244675	29.849363	-46.768597	-122.12443	1000.0	-7.2832313	2.9781024	-4.3137937	-12.9995575	28000	-5.722046e-09	0.017055418	-0.00933807	-0.0030706972	7.2782617	0.0038520189	0.07625	79.0	38.64103603363037
7	-171.71283	45.17636	-102.27754	-216.16817	1000.0	-17.146791	4.50265	-9.987609	-21.956293	32000	9.059906e-09	0.007740279	-0.0047456003	-0.000625717	7.219037	0.017028447	0.241	3.0	43.68581032752991
8	-188.14876	38.822334	-125.04947	-230.56111	1000.0	-18.601038	3.8484144	-11.567954	-24.971834	36000	4.5776368e-08	0.16041937	-0.010351456	-0.10237451	7.2157984	0.004811806	0.11175	79.0	49.037896394729614
9	-174.14734	63.55672	-117.898575	-281.9038	1000.0	-17.469378	6.3567433	-11.491914	-30.047035	40000	2.2888184e-08	0.036891878	-0.0048974915	-0.00642322	7.154126	0.01012558	0.12975	2.0	53.976728439331055
10	-118.5373	73.96148	-36.715527	-207.3504	1000.0	-11.915492	7.337221	-3.2410798	-20.96334	44000	9.536743e-09	0.03343976	-0.016146649	-0.012536405	7.130313	0.0128681455	0.1965	79.0	59.659018754959106
11	-85.58143	57.470093	5.8420153	-152.98235	909.0	-9.609408	4.679175	-0.33229235	-16.247202	48000	-1.6212464e-08	1.4870764	-0.0116147725	-0.796597	7.2699513	0.014330623	0.1495	79.0	64.8283953666687
12	-177.87517	98.295654	-12.183864	-269.13596	1000.0	-17.67409	10.23967	0.3506468	-29.412836	52000	4.2915346e-08	0.31646064	-0.014830528	-0.23918746	7.1242223	0.013838666	0.21325	79.0	70.1433458328247
